ENumber,E Effective Date,BOROCODE,TAXBLOCK,TAXLOT,HazMat Code,Air Code,Noise Code,HazMat Date,Air Date,Noise Date,CEQR_NUM,ULURP_NUM
E-1,04/28/1983,3,319,1,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,10,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,11,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,12,0,0,1,,,05/31/2018,82-252K,830178 ZMK
E-1,04/28/1983,3,319,13,0,0,1,,,05/31/2018,82-252K,830178 ZMK
E-1,04/28/1983,3,319,14,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,15,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,16,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,17,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,18,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,19,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,2,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,20,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,22,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,23,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,24,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,25,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,26,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,27,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,28,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,29,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,3,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,30,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,31,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,32,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,33,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,34,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,35,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,36,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,37,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,39,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,4,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,42,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,49,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,5,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,50,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,55,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,6,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,62,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,7,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,7501,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,7503,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,8,0,0,1,,,,82-252K,830178 ZMK
E-1,04/28/1983,3,319,9,0,0,1,,,,82-252K,830178 ZMK
E-10,06/09/1988,4,4060,19,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,20,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,21,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,22,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,23,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,27,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,29,0,0,1,,,,87-047Q,870163 ZMQ
E-10,06/09/1988,4,4060,34,0,0,1,,,,87-047Q,870163 ZMQ
E-101,04/17/2001,3,3154,13,1,0,0,,,,01HPD001K,010123 ZMK
E-101,04/17/2001,3,3154,18,1,0,0,,,,01HPD001K,010123 ZMK
E-101,04/17/2001,3,3154,23,1,0,0,,,,01HPD001K,010123 ZMK
E-101,04/17/2001,3,3157,1,1,0,0,,,,01HPD001K,010123 ZMK
E-101,04/17/2001,3,3164,6,1,0,0,,,,01HPD001K,010123 ZMK
E-102,05/09/2001,3,1715,1,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,12,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,13,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,14,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,15,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,16,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,17,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,18,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,19,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,24,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,30,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,7501,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,7502,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1715,7503,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,21,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,24,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,33,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,47,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,5,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,56,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,59,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,61,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,62,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,70,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7503,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7504,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7505,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7511,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7513,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7514,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1734,7516,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1886,40,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1886,71,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1886,72,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1886,80,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,46,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,47,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,48,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,49,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,50,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,51,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,52,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,53,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,54,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,55,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,56,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,59,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1899,7504,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,10,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,11,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,14,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,15,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,16,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,17,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,18,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,21,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,22,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,23,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,24,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,31,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,42,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,43,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,44,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,7505,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,7507,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,7508,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,7509,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,7510,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,1900,9,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2223,15,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2223,23,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2223,7502,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2223,7503,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,1,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,4,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,65,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,68,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,70,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,7504,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,7505,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,7506,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2235,7507,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2239,8,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2240,1,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2240,6,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2240,9,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2248,7501,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,1,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,30,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,44,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,7,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,7503,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,7504,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,7505,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,7507,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2262,7508,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2263,7502,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2263,7503,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2263,7504,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2263,8,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,1,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,29,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,33,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,4,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,42,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,46,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,47,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,48,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,49,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,50,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,55,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,57,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,59,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,61,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,63,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7506,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7507,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7508,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7510,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7511,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7512,1,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,7520,0,0,1,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,8,1,0,0,,,,00DCP015K,000109 ZMK
E-102,05/09/2001,3,2264,9,1,0,0,,,,00DCP015K,000109 ZMK
E-103,04/25/2001,1,1105,23,0,0,1,,,,00DCP041M,010148 ZMM
E-103,04/25/2001,1,1105,29,0,0,1,,,,00DCP041M,010148 ZMM
E-103,04/25/2001,1,1105,36,0,0,1,,,,00DCP041M,010148 ZMM
E-103,04/25/2001,1,1105,7501,0,0,1,,,,00DCP041M,010148 ZMM
E-104,07/26/2001,4,263,1,1,0,1,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,263,9,1,0,1,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,264,1,1,1,1,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,264,15,0,1,1,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,264,17,1,1,1,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,264,4,0,1,1,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,413,16,1,0,0,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,413,22,1,0,0,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,413,27,1,0,0,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,413,32,1,0,0,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,413,37,1,0,0,,,,00DCP055Q,000406(A)ZMQ
E-104,07/26/2001,4,414,17,1,0,0,,,,00DCP055Q,000406(A)ZMQ
